PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
16.8085,17.19339,2642.36,0.72696,8.68E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.846271026
32.26851,32.49748,2597.35,0.82036,4.51E-06,46.875,40.625,6.25,6.25,0,0,0,0.466539726
21.98706,22.24941,1742.73,0.7308,1.44E-05,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,1.307589996
23.64538,23.86875,1697.67,0.72312,7.22E-06,56.25,25,0,12.5,6.25,0,0,0.737773135
8.56216,9.14896,1114.65,0.53162,2.17E-05,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,2.519156798
24.14836,24.38426,1743.58,0.73324,6.81E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.717336139
16.21639,16.54198,1595.7,0.65038,6.54E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.676892218
17.28794,17.6262,1612.52,0.67756,1.94E-05,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,1.700598268
25.30476,25.68704,2252.6,0.7401,1.21E-05,56.75675676,37.83783784,5.405405405,0,0,0,0,1.187467015
18.04318,18.33921,2142.94,0.68034,4.54E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.458380055
25.21035,25.45912,2597.93,0.79384,5.17E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.512241305
10.98125,12.52501,5102.7,0.75934,4.29E-05,56.52173913,38.04347826,5.434782609,0,0,0,0,3.527467485
10.12633,11.59954,3831.24,0.71288,2.96E-05,55.55555556,37.5,6.944444444,0,0,0,0,2.49305472
31.98616,32.11213,2477.4,0.77316,8.12E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.825953731
21.24887,21.39035,1375.09,0.62376,8.11E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.885147842
16.83337,17.12286,2390.91,0.70752,5.02E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.506984752
24.86871,25.35566,3444.92,0.8318,7.65E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.785171167
9.65747,11.09613,2283.27,0.67046,5.20E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.543423387
14.64627,14.87352,2607.7,0.72348,7.23E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.741343234
26.94167,27.1243,1677.46,0.75146,1.14E-05,55,25,10,0,0,10,0,1.169830922
9.7242,10.56229,782.175,0.5707,3.76E-05,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,1.815422304
23.89316,24.1474,2102,0.70558,8.20E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.790994474
16.82414,17.17805,1684.24,0.59818,1.04E-05,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.934075704
9.74184,10.18081,1301.04,0.57538,1.08E-05,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,1.218048497
13.58509,14.58188,2747.7,0.70796,7.49E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.725168719
21.34032,21.55177,1674.5,0.70852,6.42E-06,40,35,10,15,0,0,0,0.628578627
9.06841,9.51608,600.981,0.48302,3.90E-06,55.07246377,37.68115942,7.246376812,0,0,0,0,0.445035974
15.60159,15.98839,2205.43,0.70816,4.42E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.453376408
8.40883,9.02368,482.236,0.52898,9.36E-05,37.5,46.875,6.25,6.25,0,0,3.125,2.85254049
10.67786,11.16226,1488.03,0.59456,6.04E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.641285494
35.49808,35.70981,2538.44,0.83738,5.15E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.529019866
11.24578,11.69348,1860.91,0.61976,5.48E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.553326827
17.10247,17.40167,927.31,0.52224,3.92E-06,51.35135135,40.54054054,8.108108108,0,0,0,0,0.369713977
22.83776,23.86923,6014.09,0.8601,3.30E-05,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,2.943777262
25.24971,25.75548,3913,0.84754,1.05E-05,54.375,36.875,5,0,0,0,3.75,0.990662651
23.81541,24.06097,1831.5,0.72056,3.45E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.354377978
32.05739,32.23268,1966.39,0.77422,3.56E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.361490751
16.88399,17.68947,4042.07,0.81256,8.02E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.825683808
38.02857,38.18266,2421.47,0.82272,4.18E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.4195948
38.73241,38.88744,2573.21,0.84332,4.90E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.493522778
37.56498,37.65744,3106.64,0.85454,5.86E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.585120143
26.35383,26.54457,2082.13,0.76606,5.02E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.488588071
25.82277,26.05323,2077.82,0.77472,1.53E-05,50,33.33333333,11.11111111,5.555555556,0,0,0,1.364434988
38.80415,38.87485,2607.72,0.80212,7.90E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.779875839
12.63935,13.00429,1699.8,0.64652,8.79E-06,52,28,12,8,0,0,0,0.827413285
19.01338,19.17626,2119.45,0.73848,6.75E-06,47.5,35,10,7.5,0,0,0,0.692746771
27.09758,27.20545,2190.75,0.78752,6.08E-06,47.5,35,10,5,0,0,2.5,0.604944955
38.96494,39.10948,2611.01,0.83528,4.71E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.471563497
25.97265,26.20447,2379.75,0.76662,5.61E-06,56,40,4,0,0,0,0,0.570277624
21.23186,21.48053,2260.29,0.773,4.48E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.453257448
