PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-10 bar (mol/kg)
9.7242,10.56229,782.175,0.5707,9.39E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.805313787
23.89316,24.1474,2102,0.70558,2.04E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,1.708007357
16.82414,17.17805,1684.24,0.59818,1.72E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,1.310499726
9.74184,10.18081,1301.04,0.57538,1.74E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,1.452515761
13.58509,14.58188,2747.7,0.70796,1.56E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,1.399242639
21.34032,21.55177,1674.5,0.70852,1.46E-06,40,35,10,15,0,0,0,1.296629236
9.06841,9.51608,600.981,0.48302,8.47E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.69920515
15.60159,15.98839,2205.43,0.70816,1.58E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,1.428771822
8.40883,9.02368,482.236,0.52898,1.22E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.971226668
10.67786,11.16226,1488.03,0.59456,1.49E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,1.275234721
35.49808,35.70981,2538.44,0.83738,2.14E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,1.99985387
11.24578,11.69348,1860.91,0.61976,1.39E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,1.219404383
17.10247,17.40167,927.31,0.52224,8.50E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.732113825
22.83776,23.86923,6014.09,0.8601,5.03E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,4.335528746
25.24971,25.75548,3913,0.84754,2.72E-06,54.375,36.875,5,0,0,0,3.75,2.521079545
23.81541,24.06097,1831.5,0.72056,1.34E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,1.242713645
32.05739,32.23268,1966.39,0.77422,1.55E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,1.47726196
16.88399,17.68947,4042.07,0.81256,2.49E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,2.253358459
38.02857,38.18266,2421.47,0.82272,1.95E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,1.840952868
38.73241,38.88744,2573.21,0.84332,2.16E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,1.995679043
37.56498,37.65744,3106.64,0.85454,2.36E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,2.198797306
26.35383,26.54457,2082.13,0.76606,1.52E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,1.439049045
25.82277,26.05323,2077.82,0.77472,2.01E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,1.823477237
38.80415,38.87485,2607.72,0.80212,2.42E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,2.172984668
12.63935,13.00429,1699.8,0.64652,1.48E-06,52,28,12,8,0,0,0,1.283836071
19.01338,19.17626,2119.45,0.73848,1.76E-06,47.5,35,10,7.5,0,0,0,1.56407519
27.09758,27.20545,2190.75,0.78752,1.86E-06,47.5,35,10,5,0,0,2.5,1.740562642
38.96494,39.10948,2611.01,0.83528,2.15E-06,54.16666667,37.5,8.333333333,0,0,0,0,1.999833287
25.97265,26.20447,2379.75,0.76662,1.89E-06,56,40,4,0,0,0,0,1.730686897
21.23186,21.48053,2260.29,0.773,1.63E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,1.521451457
23.07162,23.97144,5034.96,0.85508,7.64E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,4.204156459
10.6711,11.55953,1045.28,0.57244,1.83E-06,54.54545455,39.39393939,6.060606061,0,0,0,0,1.243523297
18.67205,18.83659,1507.46,0.65308,1.79E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,1.585637355
8.40705,8.94082,993.066,0.5077,1.97E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,1.401098879
10.55911,10.99477,1241.18,0.55678,1.24E-06,60,30,10,0,0,0,0,1.095993249
6.02452,6.73972,1007.55,0.52324,4.09E-06,50,25,25,0,0,0,0,1.880046478
21.99696,22.25586,1733.44,0.72906,1.88E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,1.634336101
14.85314,15.16267,1485.39,0.64318,1.56E-06,50,25,8.333333333,16.66666667,0,0,0,1.351439897
