PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-5 bar (mol/kg)
4.91947,5.5683,609.527,0.4658,2.28E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.880805431
39.68397,39.9305,2621.58,0.79732,2.02E-06,56.66666667,40,3.333333333,0,0,0,0,0.955872482
17.39813,17.54485,1499.4,0.68054,1.76E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.815125431
42.80809,42.93816,1829.24,0.81612,2.03E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.977343133
43.28884,43.42187,1934.87,0.82484,2.05E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.983385916
10.03477,10.55423,1317.7,0.5808,1.36E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.614022198
10.03477,10.55423,1467.28,0.58566,1.43E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.643400282
10.03477,10.55423,1572.98,0.59568,1.30E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.593891382
7.62148,7.93604,1293.92,0.56012,1.15E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.520006225
27.14804,27.41489,2545.35,0.80114,1.90E-06,50,40,5,5,0,0,0,0.933138497
31.82555,31.90137,2323.9,0.76406,3.87E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,1.709396047
32.86681,33.03455,2711.04,0.78798,3.01E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,1.407877966
16.93791,17.2286,1127.87,0.64998,9.19E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.444585553
19.33361,19.49918,2091.09,0.72138,1.89E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.885294166
24.69608,24.82012,2023.28,0.77204,1.90E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.918726204
11.7271,12.13815,1151.15,0.58086,6.80E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.332428574
11.85435,12.28175,1214.17,0.58532,8.92E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.43378155
18.35805,18.71848,1683.52,0.6895,1.84E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.864317183
