PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal
34.45211,38.96014,7090.75,0.94046,3.57E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
17.18447,20.50365,6865.47,0.88148,1.87E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
15.32037,19.18392,7086.97,0.86862,1.68E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
15.42277,18.26261,7443.2,0.90816,2.33E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
11.0297,13.66819,6249.41,0.81298,1.26E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
44.69967,46.22599,7223.69,0.93434,3.22E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
22.53557,23.968,5508.18,0.83978,1.37E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
20.82739,23.94818,7547.75,0.9257,2.85E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
25.02319,41.75952,7234.42,0.92796,2.96E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
14.95221,18.4769,7346.14,0.87928,1.82E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
9.83855,13.7071,7211.82,0.84878,1.46E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
17.7953,17.98935,5262.74,0.8224,1.28E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
21.03388,51.0895,7334.34,0.93204,3.08E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
15.61061,19.28592,7123.58,0.87016,1.71E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
13.17449,18.60177,7081.18,0.87144,1.72E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
22.6775,29.44681,7298.74,0.92454,2.85E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
13.41703,18.11815,7482.98,0.89802,2.16E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
17.55118,21.55285,6629.17,0.8872,1.86E-06,50,34.375,12.5,3.125,0,0,0
15.28194,19.40157,6843.85,0.87486,1.69E-06,50,34.375,12.5,3.125,0,0,0
8.62348,9.34088,3417.57,0.73382,8.27E-07,50,34.375,12.5,3.125,0,0,0
39.96053,42.00937,7072.84,0.94742,3.82E-06,50,34.375,12.5,3.125,0,0,0
22.43768,23.79279,5783.96,0.8448,1.40E-06,50,34.375,12.5,3.125,0,0,0
17.41539,21.93513,6474.49,0.88386,1.81E-06,50,34.375,12.5,3.125,0,0,0
18.7733,19.80946,7082.43,0.91552,2.40E-06,50,34.375,12.5,3.125,0,0,0
18.20969,18.68407,4671.66,0.82776,1.25E-06,50,34.375,12.5,3.125,0,0,0
20.41074,46.2123,6889.71,0.93652,3.20E-06,50,34.375,12.5,3.125,0,0,0
15.73812,20.39381,6788.17,0.87398,1.69E-06,50,34.375,12.5,3.125,0,0,0
14.35434,18.89108,6920.09,0.87446,1.71E-06,50,34.375,12.5,3.125,0,0,0
25.15134,28.1793,7054.06,0.93536,3.15E-06,50,34.375,12.5,3.125,0,0,0
32.27071,39.83893,6371.89,0.93436,3.22E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
18.60284,26.58189,6644.14,0.91474,2.48E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
21.23687,23.67431,6855.71,0.9198,2.65E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
9.52307,14.17653,6672.55,0.84036,1.43E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
27.0274,39.5773,6551.88,0.92244,2.69E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
9.41,11.82233,6702.83,0.8339,1.38E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
18.91528,19.85166,6771.17,0.90468,2.20E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
20.39316,28.66414,6931.42,0.91656,2.57E-06,55.55555556,36.11111111,5.555555556,2.777777778,0,0,0
34.61844,38.23224,5965.46,0.93416,2.88E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
16.96836,20.303,5634.84,0.8688,1.51E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
24.73251,34.21043,6669.38,0.92602,2.64E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
13.64664,18.6448,6266.63,0.8511,1.39E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
9.21646,11.47454,5556.57,0.79592,1.05E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
25.77776,38.28542,6603.78,0.92224,2.49E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
15.56469,16.4439,6662.19,0.90356,1.97E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
20.47025,48.69736,6654.95,0.92336,2.48E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
24.92492,26.35815,6622.09,0.92806,2.66E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
14.50379,18.91723,6171.99,0.85582,1.41E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
26.97165,29.08852,6581.89,0.92846,2.71E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
13.37762,16.94939,6355.95,0.85846,1.43E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
21.39087,27.05309,6494.37,0.91642,2.31E-06,52.94117647,26.47058824,5.882352941,14.70588235,0,0,0
34.93366,42.55498,6355.23,0.94288,3.58E-06,60,30,6.666666667,3.333333333,0,0,0
18.98558,22.1023,6089.13,0.88666,1.92E-06,60,30,6.666666667,3.333333333,0,0,0
25.42907,35.40689,6881.99,0.93646,3.29E-06,60,30,6.666666667,3.333333333,0,0,0
13.57273,17.13815,6369.73,0.87238,1.75E-06,60,30,6.666666667,3.333333333,0,0,0
15.2192,17.14756,6978.54,0.91246,2.37E-06,60,30,6.666666667,3.333333333,0,0,0
