PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-10 bar (mol/kg)
16.93791,17.2286,1127.87,0.64998,3.44E-06,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,4.638071857
19.33361,19.49918,2091.09,0.72138,6.20E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,6.574060235
24.69608,24.82012,2023.28,0.77204,6.84E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,7.051664567
11.7271,12.13815,1151.15,0.58086,2.17E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,3.366476333
11.85435,12.28175,1214.17,0.58532,3.38E-06,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,4.701057131
18.35805,18.71848,1683.52,0.6895,7.82E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,8.939515871
9.11511,9.87643,1713.67,0.62662,7.40E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,7.501120858
11.06222,11.37486,1677.68,0.61804,7.99E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,8.458476777
10.72675,11.02482,1505.03,0.58464,7.45E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,6.741533181
14.44901,15.66522,4062.67,0.80292,2.14E-04,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,17.32118262
41.05112,41.1773,2272.28,0.83222,7.48E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,7.54502715
9.37583,11.01204,4872.89,0.793,3.01E-04,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,18.92495139
5.94566,7.11918,2019.34,0.61318,7.95E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,6.335536182
14.43667,14.78901,1987.87,0.66862,5.39E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,6.535524038
16.83791,17.15189,2411.8,0.71904,5.38E-06,56.66666667,33.33333333,10,0,0,0,0,6.316157278
15.00037,15.2073,2127.23,0.70194,6.79E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,5.753517892
19.77262,22.16292,7094.57,0.90412,1.14E-05,56.25,25,12.5,6.25,0,0,0,18.2828866
9.18961,9.80273,1739.36,0.6184,4.28E-06,40,25,25,10,0,0,0,4.926247845
20.79435,21.19983,3846.24,0.83142,1.99E-04,59.57446809,36.17021277,4.255319149,0,0,0,0,15.9273715
16.15375,16.51788,1691.43,0.66724,9.70E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,8.170268082
18.14826,18.49638,1732.61,0.68272,5.90E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,4.932439098
7.26122,8.0558,1381.08,0.58616,2.07E-05,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,7.241936773
6.48996,7.45342,702.761,0.4803,2.31E-06,44.73684211,50,2.631578947,2.631578947,0,0,0,2.165997619
15.35482,15.85081,1728.24,0.66142,2.97E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,3.393262182
35.71819,35.86719,2366.26,0.80666,2.87E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,3.105937212
25.41555,25.64462,2270.49,0.7851,4.43E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,5.22163091
32.79335,33.01596,2559.5,0.83286,4.00E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,4.560995647
9.54557,9.60069,821.238,0.45824,2.49E-06,48.10810811,49.72972973,2.162162162,0,0,0,0,3.237296785
13.11194,13.17228,1032.13,0.51894,3.51E-06,50.24875622,47.76119403,1.990049751,0,0,0,0,4.978151524
10.59437,12.48955,8339.6,0.88504,9.26E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,11.23818563
9.58065,10.43778,8105.77,0.83242,1.16E-05,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,22.29928507
24.61711,29.01327,8684.09,0.94858,1.05E-05,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,11.24549742
