PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-0.1 bar (mol/kg)
21.82001,22.09147,1891.18,0.73434,1.62E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.016472704
21.37753,30.82847,6958.99,0.93212,5.08E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,0.049978682
27.50721,27.70127,1782.77,0.74908,1.67E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.016975682
31.42483,31.59639,1787.64,0.7723,2.01E-06,65,20,0,10,5,0,0,0.019998206
30.33059,30.47384,1932.9,0.78676,3.17E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.032219648
28.94654,29.02379,2148.74,0.78628,1.63E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.016082508
29.44973,29.61979,2207.3,0.78594,1.68E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.017258348
19.00554,19.13609,1806.59,0.71216,1.88E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.018877063
17.50947,17.74285,1762.18,0.70666,2.08E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.020992711
17.39891,18.46813,4307.16,0.82422,9.24E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.090062782
28.83791,28.97733,2055.84,0.78488,1.48E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.014102204
14.17588,16.11614,7251.58,0.90082,4.02E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,0.04066128
14.1657,16.1092,6615.93,0.89698,3.71E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,0.03730987
14.61444,15.22203,2323.71,0.7196,1.68E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.016776032
16.38611,16.51752,1837.52,0.6725,1.79E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.017539971
25.51863,25.62215,1965.11,0.74186,1.75E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.017347487
24.38004,24.50349,1916.35,0.73354,1.77E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.017475597
23.23817,23.31082,1877.56,0.73106,1.71E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.01671253
23.9675,24.14077,1831.45,0.72804,1.56E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.015708758
20.81745,20.94699,1447.82,0.68052,1.28E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.012679705
19.26829,19.382,1464.14,0.67458,1.18E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.011700925
4.91947,5.5683,609.527,0.4658,2.28E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.02290892
39.68397,39.9305,2621.58,0.79732,2.02E-06,56.66666667,40,3.333333333,0,0,0,0,0.020306145
17.39813,17.54485,1499.4,0.68054,1.76E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.017469515
42.80809,42.93816,1829.24,0.81612,2.03E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.020828023
43.28884,43.42187,1934.87,0.82484,2.05E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.021121237
10.03477,10.55423,1317.7,0.5808,1.36E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.013558754
10.03477,10.55423,1467.28,0.58566,1.43E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.014269201
10.03477,10.55423,1572.98,0.59568,1.30E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.012805757
7.62148,7.93604,1293.92,0.56012,1.15E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.011393216
27.14804,27.41489,2545.35,0.80114,1.90E-06,50,40,5,5,0,0,0,0.019789277
31.82555,31.90137,2323.9,0.76406,3.87E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.039203044
32.86681,33.03455,2711.04,0.78798,3.01E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.031039894
16.93791,17.2286,1127.87,0.64998,9.19E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.009130239
19.33361,19.49918,2091.09,0.72138,1.89E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.018605642
24.69608,24.82012,2023.28,0.77204,1.90E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.018515899
11.7271,12.13815,1151.15,0.58086,6.80E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.006956214
11.85435,12.28175,1214.17,0.58532,8.92E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.008907695
18.35805,18.71848,1683.52,0.6895,1.84E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.018327892
9.11511,9.87643,1713.67,0.62662,1.69E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.016987079
11.06222,11.37486,1677.68,0.61804,1.83E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.017964342
10.72675,11.02482,1505.03,0.58464,1.55E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.015219765
14.44901,15.66522,4062.67,0.80292,9.07E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.088157096
41.05112,41.1773,2272.28,0.83222,2.37E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.023795869
9.37583,11.01204,4872.89,0.793,9.70E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.094792686
5.94566,7.11918,2019.34,0.61318,1.73E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.017091324
14.43667,14.78901,1987.87,0.66862,1.64E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.016616077
16.83791,17.15189,2411.8,0.71904,1.80E-06,56.66666667,33.33333333,10,0,0,0,0,0.01774304
15.00037,15.2073,2127.23,0.70194,1.68E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.016450935
19.77262,22.16292,7094.57,0.90412,4.39E-06,56.25,25,12.5,6.25,0,0,0,0.04451989
9.18961,9.80273,1739.36,0.6184,1.15E-06,40,25,25,10,0,0,0,0.011234077
20.79435,21.19983,3846.24,0.83142,6.11E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.060696187
16.15375,16.51788,1691.43,0.66724,2.05E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.020014143
18.14826,18.49638,1732.61,0.68272,1.57E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.015616776
7.26122,8.0558,1381.08,0.58616,2.40E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.023895135
6.48996,7.45342,702.761,0.4803,5.75E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.00607598
15.35482,15.85081,1728.24,0.66142,1.07E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.010636703
35.71819,35.86719,2366.26,0.80666,1.54E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.015138388
25.41555,25.64462,2270.49,0.7851,1.80E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.017858433
32.79335,33.01596,2559.5,0.83286,1.94E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.019894622
9.54557,9.60069,821.238,0.45824,6.95E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.00684172
13.11194,13.17228,1032.13,0.51894,9.79E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.010088172
10.59437,12.48955,8339.6,0.88504,3.96E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.039203317
9.58065,10.43778,8105.77,0.83242,3.87E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.038846419
24.61711,29.01327,8684.09,0.94858,6.09E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.061061016
10.07551,12.06451,8233.61,0.8788,3.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.037913659
9.7459,10.65907,8177.69,0.82438,3.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.039200338
